date,1_day_change,5_days_change,1_month_change,3_months_change
2014-05-07,-11.30347977025023,-5.32879396273643,2.756401183017596,18.46043819329078
2014-07-31,4.4643876749044455,13.027064426635866,20.77895033822137,8.71919229916637
2014-11-05,4.437589297311333,7.849720742953632,-1.164436939862317,-8.671905442265231
2015-02-11,-4.625810045623465,-3.8825777608540903,-10.17748725434199,12.584882909183213
2015-05-06,2.7646139825543528,5.533133706548624,6.722431975003255,12.828407759406321
2015-08-05,-8.884594668132632,-11.83150366211887,-9.092272068500222,-20.856585983441338
2015-11-03,11.173506119510437,3.911447084233251,11.346292296616262,-8.23110151187905
2016-02-10,4.732720818542498,17.407600751722708,42.813739820421794,45.4165796617248
2016-05-04,-4.955753405269156,-6.110276128406118,-1.617544971120084,3.3476441131472625
2016-08-03,2.134500787234189,-0.062447268596327626,-11.081068512625638,-12.427670783314618
2017-02-22,-6.405615882417477,-8.588351431391917,-6.848195678402999,13.469342985631236
2017-05-03,-5.003207184092375,4.565293927570691,9.436355481391088,4.002951573931614
2017-08-02,6.5051090858878755,11.549756052655804,9.20878210439106,-1.7826567246616947
2017-11-01,-6.795513260734487,-5.197778120372059,-3.8088697658991024,8.860889592764405
2018-02-07,-8.629130434782608,-6.576956521739126,-4.608695652173908,-12.240434782608698
2018-05-02,-5.545732117330033,1.8927413369727226,-5.452589319957959,-3.646017522800059
2018-07-31,0.9056148118333653,27.312839605554434,2.3042865767760032,10.988126383578171
2018-10-23,-1.9174575329053114,12.15749669799534,14.976057278944166,2.7609348625397105
2019-01-29,3.802185500259705,8.030982264872147,5.8091746635267585,-20.95084893624532
2019-04-23,-1.9854149022639274,-9.552500099469686,-26.968220856803445,-2.167302325317021
2019-07-23,1.8103512888663398,-6.88394725766372,-15.12104562200557,-1.2378421073872743
2019-10-22,-0.3521395411621704,23.725988485037007,37.811570131524135,99.7411774372458
2020-01-28,2.485625759063112,56.47561869431883,37.378847573511706,27.91500080702134
2020-04-28,4.081155033574058,-0.11838197005541562,6.645187587640687,84.23647529873406
2020-07-21,1.528348570592392,-5.857649346339281,19.77671573386076,40.168787832126505
2020-10-20,0.16587662561580585,0.6493575746889138,15.333882700411735,95.80032805604397
2021-01-26,-2.1436096143778802,-1.1663478429545986,-15.974579711533327,-17.403664111660657
2021-10-19,0.17702801207957505,17.837030094762063,26.00343642611686,21.444687424068878
2022-01-25,2.069915295069176,1.3991944032223778,-16.807482230779865,9.434909563905656
2022-04-19,-4.955521572190681,-14.757582574762193,-30.962424649863873,-29.951852360856652
2022-07-19,0.8023459455056404,5.429071803852895,23.812446544210474,-16.5112206247709
2022-10-18,0.8401834779054427,1.010490939643033,-15.109678005359012,-44.411644488850534
2023-01-24,0.37528667732296933,20.383626381263475,39.592744457571776,14.726527208284127
